Start,Peak,End,Duration,LOCAbsValPeak,ROCAbsValPeak,LOCAbsRiseSlope,ROCAbsRiseSlope,LOCAbsFallSlope,ROCAbsFallSlope,Stage
8178.890625,8179.328125,8179.515625,0.625,492.237446240346,101.52291113847875,1127.1424773005112,220.77060642487547,1538.494428253002,757.765025037252,W
8178.890625,8179.4921875,8179.515625,0.625,485.04760923648024,35.6254761246609,807.7880466536859,51.016652961355085,12001.18904719241,3250.4963063751206,W
8179.5234375,8179.546875,8179.7109375,0.1875,382.50538842876915,185.94555768009062,18423.54495273718,4516.637163774456,1252.403543106623,802.0021596722394,W
8179.5234375,8179.703125,8179.7109375,0.1875,352.09868749264785,100.39570640639323,2233.8511799299135,113.02306644739576,22408.416685415556,5891.6643900837635,W
8179.71875,8179.734375,8181.2265625,1.5078125,396.6841094280296,91.503282107626,24214.37736491432,6119.467557637967,167.41478889022432,104.49658766756836,W
8179.71875,8180.2421875,8181.2265625,1.5078125,421.51334161981634,84.02935659172302,840.3062537954575,152.6752632573245,577.4051512388208,19.91531356358029,W
8179.71875,8180.328125,8181.2265625,1.5078125,578.513436323706,17.982255998980264,979.4427067486348,22.759150799611135,807.383140679907,51.693037972695265,W
8179.71875,8180.3515625,8181.2265625,1.5078125,179.86540675165483,74.45863876722593,255.2587751512675,124.16321935437931,37.709202995150655,158.7244097940567,W
8179.71875,8180.6328125,8181.2265625,1.5078125,471.81691837131973,91.78658509590942,496.11755790230575,104.91622134851461,547.2792660891313,263.0935661448136,W
8179.71875,8181.1875,8181.2265625,1.5078125,546.9396562284404,30.28595389049463,359.9014080866022,23.420835656825094,10241.786933697085,2424.606046542548,W
8181.234375,8181.25,8182.203125,0.96875,130.49160099681868,46.99853850383551,1675.968954533325,1413.42850467556,35.55113918595533,27.414236920714078,W
8181.234375,8181.296875,8182.203125,0.96875,442.97213347966294,80.15968879054164,5418.68075835884,2387.8887628789244,307.41611359584067,169.1447413621327,W
8181.234375,8181.484375,8182.203125,0.96875,498.64840821714125,2.07004799342329,1577.3752885396232,284.6136275312577,465.07426460342106,104.62299973887221,W
8181.234375,8181.609375,8182.203125,0.96875,479.04181682012194,66.99011790443241,999.2992819676973,362.86260478352943,529.9630084828456,235.9879595340186,W
8181.234375,8182.140625,8182.203125,0.96875,505.2907016124277,62.561232274092156,442.46743782641903,145.26299714591258,5454.630737263926,2171.0234454877323,W
8182.2109375,8182.2734375,8182.3984375,0.1875,383.19191877994626,195.6922398992231,7750.0154392602,1676.1119694221074,2815.7003985986826,924.3092528029592,W
8182.2109375,8182.3515625,8182.3984375,0.1875,412.83265061235323,172.31655110532645,3655.22984381276,578.7115327643382,8140.870008687835,1966.143313204763,W
8182.40625,8182.5078125,8182.703125,0.296875,480.70494306319375,118.38248324015929,4426.0208996847305,1808.2621411406476,2370.5261205170395,340.98612153240856,W
8182.40625,8182.5546875,8182.703125,0.296875,424.4103177265781,156.27264911802888,2649.0820869902473,1492.492056168196,2739.8653142020626,703.9260142461853,W
8182.7109375,8182.796875,8184.1484375,1.4375,474.7714670914482,105.07215967860867,5191.3188100710495,1656.7143136979537,254.59219780100057,98.9357989234041,W
8182.7109375,8183.453125,8184.1484375,1.4375,512.1270603016847,83.6530025189738,651.4318193862296,162.9705824657287,548.6063612413861,161.50832693613086,W
